session_id,turns,parsed,query,is_yesno_be,is_can_could,is_definition_what,is_count_measure,is_other,is_who_which,is_time_when,is_compare,is_location_where,is_exists_avail,is_how_other,is_price_cost,is_reason_why,ans_yes_no,ans_boolean_choice,ans_quantity,ans_other,ans_comparison,ans_entity_name,ans_procedure,ans_time_date,ans_location,ans_reason_explain,ans_list_set,has_number,time_date,time_month,time_year,len_short,len_medium,len_long,is_vehicle,is_plant,is_food,is_animal,ent_single,ent_multiple,ent_none
fd93d7e6-9cdf-4334-a5be-c2ad13880d0b,"{'interaction_id': array(['fd93d7e6-9cdf-4334-a5be-c2ad13880d0b'], dtype=object), 'domain': array([9]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array(['is this a good car for transporting seven passengers at once?'],
      dtype=object), 'image_quality': array([1])}","{'interaction_id': array(['fd93d7e6-9cdf-4334-a5be-c2ad13880d0b'], dtype=object), 'domain': array([9]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array(['is this a good car for transporting seven passengers at once?'],
      dtype=object), 'image_quality': array([1])}",is this a good car for transporting seven passengers at once?,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
eaab8630-64ed-4feb-84e3-a20e0db97258,"{'interaction_id': array(['eaab8630-64ed-4feb-84e3-a20e0db97258'], dtype=object), 'domain': array([9]), 'query_category': array([5]), 'dynamism': array([3]), 'query': array(['can the 2023 model with a 1.3l awd engine of this vehicle get from washington, dc to baltimore on 5 gallons of gas?'],
      dtype=object), 'image_quality': array([0])}","{'interaction_id': array(['eaab8630-64ed-4feb-84e3-a20e0db97258'], dtype=object), 'domain': array([9]), 'query_category': array([5]), 'dynamism': array([3]), 'query': array(['can the 2023 model with a 1.3l awd engine of this vehicle get from washington, dc to baltimore on 5 gallons of gas?'],
      dtype=object), 'image_quality': array([0])}","can the 2023 model with a 1.3l awd engine of this vehicle get from washington, dc to baltimore on 5 gallons of gas?",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
4cd79b63-6e4b-400f-aee0-f917dc1443c5,"{'interaction_id': array(['4cd79b63-6e4b-400f-aee0-f917dc1443c5'], dtype=object), 'domain': array([6]), 'query_category': array([4]), 'dynamism': array([0]), 'query': array(['what is the origin of this food item?'], dtype=object), 'image_quality': array([5])}","{'interaction_id': array(['4cd79b63-6e4b-400f-aee0-f917dc1443c5'], dtype=object), 'domain': array([6]), 'query_category': array([4]), 'dynamism': array([0]), 'query': array(['what is the origin of this food item?'], dtype=object), 'image_quality': array([5])}",what is the origin of this food item?,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
4f69e90f-73eb-4ebc-a596-48dfa0c905cc,"{'interaction_id': array(['4f69e90f-73eb-4ebc-a596-48dfa0c905cc'], dtype=object), 'domain': array([6]), 'query_category': array([2]), 'dynamism': array([0]), 'query': array(['what is the range of wavelength required to see the color of nearest fruits?'],
      dtype=object), 'image_quality': array([0])}","{'interaction_id': array(['4f69e90f-73eb-4ebc-a596-48dfa0c905cc'], dtype=object), 'domain': array([6]), 'query_category': array([2]), 'dynamism': array([0]), 'query': array(['what is the range of wavelength required to see the color of nearest fruits?'],
      dtype=object), 'image_quality': array([0])}",what is the range of wavelength required to see the color of nearest fruits?,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
86454edf-4787-42f8-8648-6c0114e5b766,"{'interaction_id': array(['86454edf-4787-42f8-8648-6c0114e5b766'], dtype=object), 'domain': array([9]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array(['was this showcased at the british international motor show in 2016?'],
      dtype=object), 'image_quality': array([0])}","{'interaction_id': array(['86454edf-4787-42f8-8648-6c0114e5b766'], dtype=object), 'domain': array([9]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array(['was this showcased at the british international motor show in 2016?'],
      dtype=object), 'image_quality': array([0])}",was this showcased at the british international motor show in 2016?,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
f3ba6607-afac-421c-b64c-15cbe4c2e458,"{'interaction_id': array(['f3ba6607-afac-421c-b64c-15cbe4c2e458'], dtype=object), 'domain': array([9]), 'query_category': array([4]), 'dynamism': array([3]), 'query': array(['how many passengers can the red car seat?'], dtype=object), 'image_quality': array([0])}","{'interaction_id': array(['f3ba6607-afac-421c-b64c-15cbe4c2e458'], dtype=object), 'domain': array([9]), 'query_category': array([4]), 'dynamism': array([3]), 'query': array(['how many passengers can the red car seat?'], dtype=object), 'image_quality': array([0])}",how many passengers can the red car seat?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
b83e26ab-f631-4841-8552-6c683b4b2a76,"{'interaction_id': array(['b83e26ab-f631-4841-8552-6c683b4b2a76'], dtype=object), 'domain': array([8]), 'query_category': array([4]), 'dynamism': array([0]), 'query': array(['how long did this take to build?'], dtype=object), 'image_quality': array([4])}","{'interaction_id': array(['b83e26ab-f631-4841-8552-6c683b4b2a76'], dtype=object), 'domain': array([8]), 'query_category': array([4]), 'dynamism': array([0]), 'query': array(['how long did this take to build?'], dtype=object), 'image_quality': array([4])}",how long did this take to build?,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3e87645d-4bab-455a-b10c-8edc5344c4df,"{'interaction_id': array(['3e87645d-4bab-455a-b10c-8edc5344c4df'], dtype=object), 'domain': array([9]), 'query_category': array([2]), 'dynamism': array([0]), 'query': array(['what are some common attachments for clearing a space one can add to these machines?'],
      dtype=object), 'image_quality': array([0])}","{'interaction_id': array(['3e87645d-4bab-455a-b10c-8edc5344c4df'], dtype=object), 'domain': array([9]), 'query_category': array([2]), 'dynamism': array([0]), 'query': array(['what are some common attachments for clearing a space one can add to these machines?'],
      dtype=object), 'image_quality': array([0])}",what are some common attachments for clearing a space one can add to these machines?,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9e97f95f-1761-4d48-9ef8-9e64f3b90a25,"{'interaction_id': array(['9e97f95f-1761-4d48-9ef8-9e64f3b90a25'], dtype=object), 'domain': array([4]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array([""would wearing this constantly at a 90 decibels volume damage a person's hearing?""],
      dtype=object), 'image_quality': array([0])}","{'interaction_id': array(['9e97f95f-1761-4d48-9ef8-9e64f3b90a25'], dtype=object), 'domain': array([4]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array([""would wearing this constantly at a 90 decibels volume damage a person's hearing?""],
      dtype=object), 'image_quality': array([0])}",would wearing this constantly at a 90 decibels volume damage a person's hearing?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
f962b264-63d1-4737-ad7b-d95f00140b2f,"{'interaction_id': array(['f962b264-63d1-4737-ad7b-d95f00140b2f'], dtype=object), 'domain': array([9]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array(['can i purchase an american assembled vehicle of this model?'],
      dtype=object), 'image_quality': array([0])}","{'interaction_id': array(['f962b264-63d1-4737-ad7b-d95f00140b2f'], dtype=object), 'domain': array([9]), 'query_category': array([0]), 'dynamism': array([0]), 'query': array(['can i purchase an american assembled vehicle of this model?'],
      dtype=object), 'image_quality': array([0])}",can i purchase an american assembled vehicle of this model?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
